clean,corrupted,target_idx,foil_idx
The letter A is pronounced,The letter B is pronounced,13709,1475
The letter A is pronounced,The letter C is pronounced,13709,1475
The letter A is pronounced,The letter D is pronounced,13709,1475
The letter A is pronounced,The letter F is pronounced,13709,1475
The letter B is pronounced,The letter A is pronounced,24719,4162
The letter B is pronounced,The letter C is pronounced,24719,4162
The letter B is pronounced,The letter D is pronounced,24719,4162
The letter B is pronounced,The letter F is pronounced,24719,4162
The letter C is pronounced,The letter A is pronounced,4091,4162
The letter C is pronounced,The letter B is pronounced,4091,4162
The letter C is pronounced,The letter D is pronounced,4091,4162
The letter C is pronounced,The letter F is pronounced,4091,4162
The letter D is pronounced,The letter A is pronounced,29195,4162
The letter D is pronounced,The letter B is pronounced,29195,4162
The letter D is pronounced,The letter C is pronounced,29195,4162
The letter D is pronounced,The letter F is pronounced,29195,4162
The letter F is pronounced,The letter A is pronounced,27848,4162
The letter F is pronounced,The letter B is pronounced,27848,4162
The letter F is pronounced,The letter C is pronounced,27848,4162
The letter F is pronounced,The letter D is pronounced,27848,4162
The letter I is pronounced,The letter A is pronounced,14144,4162
The letter I is pronounced,The letter B is pronounced,14144,4162
The letter I is pronounced,The letter C is pronounced,14144,4162
The letter I is pronounced,The letter D is pronounced,14144,4162
The letter J is pronounced,The letter A is pronounced,9180,4162
The letter J is pronounced,The letter B is pronounced,9180,4162
The letter J is pronounced,The letter C is pronounced,9180,4162
The letter J is pronounced,The letter D is pronounced,9180,4162
The letter K is pronounced,The letter A is pronounced,17356,4162
The letter K is pronounced,The letter B is pronounced,17356,4162
The letter K is pronounced,The letter C is pronounced,17356,4162
The letter K is pronounced,The letter D is pronounced,17356,4162
The letter L is pronounced,The letter A is pronounced,2574,4162
The letter L is pronounced,The letter B is pronounced,2574,4162
The letter L is pronounced,The letter C is pronounced,2574,4162
The letter L is pronounced,The letter D is pronounced,2574,4162
The letter M is pronounced,The letter A is pronounced,2295,4162
The letter M is pronounced,The letter B is pronounced,2295,4162
The letter M is pronounced,The letter C is pronounced,2295,4162
The letter M is pronounced,The letter D is pronounced,2295,4162
The letter O is pronounced,The letter A is pronounced,3966,4162
The letter O is pronounced,The letter B is pronounced,3966,4162
The letter O is pronounced,The letter C is pronounced,3966,4162
The letter O is pronounced,The letter D is pronounced,3966,4162
The letter R is pronounced,The letter A is pronounced,4231,4162
The letter R is pronounced,The letter B is pronounced,4231,4162
The letter R is pronounced,The letter C is pronounced,4231,4162
The letter R is pronounced,The letter D is pronounced,4231,4162
The letter S is pronounced,The letter A is pronounced,8678,4162
The letter S is pronounced,The letter B is pronounced,8678,4162
The letter S is pronounced,The letter C is pronounced,8678,4162
The letter S is pronounced,The letter D is pronounced,8678,4162
The letter T is pronounced,The letter A is pronounced,15777,4162
The letter T is pronounced,The letter B is pronounced,15777,4162
The letter T is pronounced,The letter C is pronounced,15777,4162
The letter T is pronounced,The letter D is pronounced,15777,4162
The letter U is pronounced,The letter A is pronounced,921,1475
The letter U is pronounced,The letter B is pronounced,921,1475
The letter U is pronounced,The letter C is pronounced,921,1475
The letter U is pronounced,The letter D is pronounced,921,1475
The letter X is pronounced,The letter A is pronounced,1475,3966
The letter X is pronounced,The letter B is pronounced,1475,3966
The letter X is pronounced,The letter C is pronounced,1475,3966
The letter X is pronounced,The letter D is pronounced,1475,3966
The letter Y is pronounced,The letter A is pronounced,4162,1475
The letter Y is pronounced,The letter B is pronounced,4162,1475
The letter Y is pronounced,The letter C is pronounced,4162,1475
The letter Y is pronounced,The letter D is pronounced,4162,1475
