clean,corrupted,target_idx,foil_idx
The name Bill Ding sounds like the word,The name Curt Ding sounds like the word,2615,2156
The name Bill Ding sounds like the word,The name Sandy Ding sounds like the word,2615,2156
The name Bill Ding sounds like the word,The name Tim Ding sounds like the word,2615,2156
The name Bill Ding sounds like the word,The name Ginger Ding sounds like the word,2615,2156
The name Curt Ain sounds like the word,The name Bill Ain sounds like the word,29461,4324
The name Curt Ain sounds like the word,The name Sandy Ain sounds like the word,29461,4324
The name Curt Ain sounds like the word,The name Tim Ain sounds like the word,29461,4324
The name Curt Ain sounds like the word,The name Ginger Ain sounds like the word,29461,4324
The name Sandy Beach sounds like the word,The name Bill Beach sounds like the word,44039,36972
The name Sandy Beach sounds like the word,The name Curt Beach sounds like the word,44039,36972
The name Sandy Beach sounds like the word,The name Tim Beach sounds like the word,44039,36972
The name Sandy Beach sounds like the word,The name Ginger Beach sounds like the word,44039,36972
The name Tim Burr sounds like the word,The name Bill Burr sounds like the word,30605,34840
The name Tim Burr sounds like the word,The name Curt Burr sounds like the word,30605,34840
The name Tim Burr sounds like the word,The name Sandy Burr sounds like the word,30605,34840
The name Tim Burr sounds like the word,The name Ginger Burr sounds like the word,30605,34840
The name Ginger Ale sounds like the word,The name Bill Ale sounds like the word,25072,13385
The name Ginger Ale sounds like the word,The name Curt Ale sounds like the word,25072,13385
The name Ginger Ale sounds like the word,The name Sandy Ale sounds like the word,25072,13385
The name Ginger Ale sounds like the word,The name Tim Ale sounds like the word,25072,13385
The name Justin Time sounds like the word,The name Bill Time sounds like the word,655,691
The name Justin Time sounds like the word,The name Curt Time sounds like the word,655,691
The name Justin Time sounds like the word,The name Sandy Time sounds like the word,655,691
The name Justin Time sounds like the word,The name Tim Time sounds like the word,655,691
The name Candy Barr sounds like the word,The name Bill Barr sounds like the word,18550,7543
The name Candy Barr sounds like the word,The name Curt Barr sounds like the word,18550,7543
The name Candy Barr sounds like the word,The name Sandy Barr sounds like the word,18550,7543
The name Candy Barr sounds like the word,The name Tim Barr sounds like the word,18550,7543
The name Richard Tater sounds like the word,The name Bill Tater sounds like the word,26671,47167
The name Richard Tater sounds like the word,The name Curt Tater sounds like the word,26671,47167
The name Richard Tater sounds like the word,The name Sandy Tater sounds like the word,26671,47167
The name Richard Tater sounds like the word,The name Tim Tater sounds like the word,26671,47167
The name William Ding sounds like the word,The name Bill Ding sounds like the word,2615,2156
The name William Ding sounds like the word,The name Curt Ding sounds like the word,2615,2156
The name William Ding sounds like the word,The name Sandy Ding sounds like the word,2615,2156
The name William Ding sounds like the word,The name Tim Ding sounds like the word,2615,2156
The name Gar Den sounds like the word,The name Bill Den sounds like the word,11376,12699
The name Gar Den sounds like the word,The name Curt Den sounds like the word,11376,12699
The name Gar Den sounds like the word,The name Sandy Den sounds like the word,11376,12699
The name Gar Den sounds like the word,The name Tim Den sounds like the word,11376,12699
The name Par Don sounds like the word,The name Bill Don sounds like the word,27322,12226
The name Par Don sounds like the word,The name Curt Don sounds like the word,27322,12226
The name Par Don sounds like the word,The name Sandy Don sounds like the word,27322,12226
The name Par Don sounds like the word,The name Tim Don sounds like the word,27322,12226
The name Cap Tain sounds like the word,The name Bill Tain sounds like the word,10654,46969
The name Cap Tain sounds like the word,The name Curt Tain sounds like the word,10654,46969
The name Cap Tain sounds like the word,The name Sandy Tain sounds like the word,10654,46969
The name Cap Tain sounds like the word,The name Tim Tain sounds like the word,10654,46969
The name Mon Stir sounds like the word,The name Bill Stir sounds like the word,9234,13824
The name Mon Stir sounds like the word,The name Curt Stir sounds like the word,9234,13824
The name Mon Stir sounds like the word,The name Sandy Stir sounds like the word,9234,13824
