clean,corrupted,target_idx,foil_idx
The word timber contains the name,The word ginger contains the name,5045,5689
The word timber contains the name,The word maiden contains the name,5045,5689
The word timber contains the name,The word artist contains the name,5045,5689
The word timber contains the name,The word dolphin contains the name,5045,5689
The word ginger contains the name,The word timber contains the name,38682,10490
The word ginger contains the name,The word maiden contains the name,38682,10490
The word ginger contains the name,The word artist contains the name,38682,10490
The word ginger contains the name,The word dolphin contains the name,38682,10490
The word maiden contains the name,The word timber contains the name,1737,5689
The word maiden contains the name,The word ginger contains the name,1737,5689
The word maiden contains the name,The word artist contains the name,1737,5689
The word maiden contains the name,The word dolphin contains the name,1737,5689
The word artist contains the name,The word timber contains the name,3683,5689
The word artist contains the name,The word ginger contains the name,3683,5689
The word artist contains the name,The word maiden contains the name,3683,5689
The word artist contains the name,The word dolphin contains the name,3683,5689
The word dolphin contains the name,The word timber contains the name,2094,5689
The word dolphin contains the name,The word ginger contains the name,2094,5689
The word dolphin contains the name,The word maiden contains the name,2094,5689
The word dolphin contains the name,The word artist contains the name,2094,5689
The word window contains the name,The word timber contains the name,7178,5689
The word window contains the name,The word ginger contains the name,7178,5689
The word window contains the name,The word maiden contains the name,7178,5689
The word window contains the name,The word artist contains the name,7178,5689
The word jacket contains the name,The word timber contains the name,3619,5689
The word jacket contains the name,The word ginger contains the name,3619,5689
The word jacket contains the name,The word maiden contains the name,3619,5689
The word jacket contains the name,The word artist contains the name,3619,5689
The word golden contains the name,The word timber contains the name,3561,12091
The word golden contains the name,The word ginger contains the name,3561,12091
The word golden contains the name,The word maiden contains the name,3561,12091
The word golden contains the name,The word artist contains the name,3561,12091
The word marshal contains the name,The word dandy contains the name,2940,5689
The word marshal contains the name,The word hamlet contains the name,2940,5689
The word marshal contains the name,The word gallant contains the name,2940,5689
The word marshal contains the name,The word martini contains the name,2940,5689
The word dandy contains the name,The word marshal contains the name,6035,5689
The word dandy contains the name,The word hamlet contains the name,6035,5689
The word dandy contains the name,The word gallant contains the name,6035,5689
The word dandy contains the name,The word martini contains the name,6035,5689
The word hamlet contains the name,The word marshal contains the name,4345,5689
The word hamlet contains the name,The word dandy contains the name,4345,5689
The word hamlet contains the name,The word gallant contains the name,4345,5689
The word hamlet contains the name,The word martini contains the name,4345,5689
The word sandwich contains the name,The word timber contains the name,3837,12091
The word sandwich contains the name,The word ginger contains the name,3837,12091
The word sandwich contains the name,The word maiden contains the name,3837,12091
The word sandwich contains the name,The word artist contains the name,3837,12091
The word mandate contains the name,The word timber contains the name,1869,5689
The word mandate contains the name,The word ginger contains the name,1869,5689
The word mandate contains the name,The word maiden contains the name,1869,5689
The word mandate contains the name,The word artist contains the name,1869,5689
The word margin contains the name,The word timber contains the name,1526,5689
The word margin contains the name,The word ginger contains the name,1526,5689
The word margin contains the name,The word maiden contains the name,1526,5689
The word margin contains the name,The word artist contains the name,1526,5689
The word gallant contains the name,The word marshal contains the name,5027,5689
The word gallant contains the name,The word dandy contains the name,5027,5689
The word gallant contains the name,The word hamlet contains the name,5027,5689
The word gallant contains the name,The word martini contains the name,5027,5689
The word martini contains the name,The word marshal contains the name,5780,10490
The word martini contains the name,The word dandy contains the name,5780,10490
The word martini contains the name,The word hamlet contains the name,5780,10490
The word martini contains the name,The word gallant contains the name,5780,10490
